2025-09-19 02:54:59.656310 - MPU: x=1, y=0, z=-2 - Pulgar=0, Indice=16421, Mayor=5834, Anulaar=17093, Meñique=1293
2025-09-19 02:54:59.749272 - MPU: x=1, y=0, z=-3 - Pulgar=0, Indice=16548, Mayor=5865, Anulaar=18229, Meñique=1293
2025-09-19 02:54:59.849943 - MPU: x=1, y=-1, z=-1 - Pulgar=0, Indice=16742, Mayor=5942, Anulaar=19359, Meñique=1293
2025-09-19 02:54:59.948766 - MPU: x=3, y=-2, z=-5 - Pulgar=0, Indice=16634, Mayor=5949, Anulaar=19783, Meñique=1293
2025-09-19 02:55:00.053800 - MPU: x=7, y=0, z=-2 - Pulgar=0, Indice=16807, Mayor=5988, Anulaar=0, Meñique=1293
2025-09-19 02:55:00.156662 - MPU: x=11, y=5, z=-3 - Pulgar=0, Indice=16851, Mayor=6011, Anulaar=0, Meñique=1293
2025-09-19 02:55:00.249616 - MPU: x=2, y=2, z=-1 - Pulgar=0, Indice=16720, Mayor=5980, Anulaar=0, Meñique=1293
2025-09-19 02:55:00.349055 - MPU: x=-2, y=-1, z=0 - Pulgar=0, Indice=16720, Mayor=6011, Anulaar=0, Meñique=1293
2025-09-19 02:55:00.451453 - MPU: x=0, y=-1, z=-1 - Pulgar=0, Indice=16591, Mayor=5949, Anulaar=0, Meñique=1293
2025-09-19 02:55:00.577412 - MPU: x=0, y=0, z=1 - Pulgar=0, Indice=16785, Mayor=5949, Anulaar=0, Meñique=1293
2025-09-19 02:55:00.648626 - MPU: x=-1, y=0, z=-3 - Pulgar=0, Indice=16591, Mayor=5972, Anulaar=0, Meñique=1293
2025-09-19 02:55:00.754869 - MPU: x=-2, y=4, z=-3 - Pulgar=0, Indice=16378, Mayor=5942, Anulaar=0, Meñique=1293
2025-09-19 02:55:00.873994 - MPU: x=-3, y=1, z=-1 - Pulgar=0, Indice=16357, Mayor=5942, Anulaar=0, Meñique=1293
2025-09-19 02:55:00.948940 - MPU: x=0, y=-5, z=3 - Pulgar=0, Indice=16336, Mayor=5942, Anulaar=0, Meñique=1293
2025-09-19 02:55:01.049831 - MPU: x=-1, y=-2, z=1 - Pulgar=0, Indice=16232, Mayor=6105, Anulaar=0, Meñique=1293
2025-09-19 02:55:01.153401 - MPU: x=-2, y=-2, z=1 - Pulgar=0, Indice=16378, Mayor=6113, Anulaar=0, Meñique=1293
2025-09-19 02:55:01.253278 - MPU: x=-2, y=-3, z=2 - Pulgar=0, Indice=16315, Mayor=5996, Anulaar=0, Meñique=1293
2025-09-19 02:55:01.349018 - MPU: x=-1, y=-2, z=1 - Pulgar=0, Indice=16252, Mayor=5942, Anulaar=0, Meñique=1293
2025-09-19 02:55:01.448843 - MPU: x=-1, y=-1, z=0 - Pulgar=0, Indice=16336, Mayor=5934, Anulaar=17568, Meñique=1293
2025-09-19 02:55:01.554074 - MPU: x=-1, y=-1, z=0 - Pulgar=0, Indice=16357, Mayor=5926, Anulaar=17591, Meñique=1293
2025-09-19 02:55:01.650350 - MPU: x=-1, y=-1, z=0 - Pulgar=0, Indice=16378, Mayor=5926, Anulaar=0, Meñique=1293
2025-09-19 02:55:01.749439 - MPU: x=0, y=-1, z=-1 - Pulgar=0, Indice=16336, Mayor=5903, Anulaar=0, Meñique=1293
2025-09-19 02:55:01.850886 - MPU: x=0, y=-3, z=1 - Pulgar=0, Indice=16315, Mayor=5918, Anulaar=16851, Meñique=1293
2025-09-19 02:55:01.948826 - MPU: x=0, y=-4, z=0 - Pulgar=0, Indice=16336, Mayor=5918, Anulaar=16655, Meñique=1293
